,,,
基本信息,,,
,名称/编号：,雷霆战机,
,核心玩法类型：,2D竖版弹幕射击,
,目标用户画像：,适合全年龄段，游玩场景考虑通勤、杀时间,
,对标参考产品,雷霆战机（4399/taptap）,
玩法与内容设计,,,
,玩法核心机制：,竖版，单指操作战机位置，射击获得经验升级并躲避敌方射击弹幕,
,,,
,游戏爽感来源：,获得分数/存活时间/武器升级/射击效果/皮肤,
,,,
,游戏节奏设计（一轮游戏时间等）：,可不设置上限/一分钟内高难度挑战,
,,,
,可扩展内容方向：,多人联机,
开发与资源评估,,,
,预计开发时间：,2~3月,
,,,
,开发关键难点：,待定,
,,,
,是否需要联网：,否,
,,,
,推荐引擎工具：,Unity/Cocos/Godot,
,,,
,可否复用代码模板：,有,
,,,
商业化潜力：,,,
,主要变现方式：,复活币/战机外观/子弹特效/数值增加,
,,,
,预计ARPU区间：,$0.1~$3,
,,,
,误触/误导/吸引创意可用性：,广告设计可以贴合碎片时间、突出特效效果；分享链接获得复活币,
,,,
,核心用户留存点：,每日挑战/成就系统/图鉴收集,
,,,
,用户留存率预估：,<5%,
,,,
评估打分：（1-5）,,,
,项目,分值（1-5）,备注
,创意新颖度,,
,技术开发可行性,,
,快速上线速度,,
,创意可塑性,,
,商业化潜力,,
,,,
小结,,,
